People_num,Meters,Have_gas,Have_induction,Have_vitro,Have_AC,Have_calef,Monthm,Day_of_the_week,Kwh_daily_consumption
7,179,0,2,1,0,0,8,5,29.028948930671213
7,173,0,2,1,1,2,3,2,30.152402204308363
2,168,0,1,2,0,2,8,6,20.13899119909395
4,201,2,1,1,2,0,9,6,27.37677690590038
6,169,2,1,0,1,2,1,7,25.383487834273996
3,138,2,1,0,1,1,4,3,25.14005277601389
6,102,1,0,2,0,2,1,2,18.698446682960196
6,151,2,1,2,0,0,12,7,26.82454842599718
3,107,0,2,2,1,1,12,3,40.0795238124228
2,134,0,0,2,0,2,11,0,14.256109092941657
1,77,1,1,1,2,0,1,0,11.154882221892569
5,115,1,1,2,0,2,12,5,20.440174891022185
1,102,2,0,0,2,0,7,2,10.378882401933248
1,160,2,1,2,0,2,12,1,18.937266877453553
1,129,2,2,1,0,2,5,7,14.885383853265372
6,69,1,1,0,2,1,11,6,37.370221235030876
5,189,0,1,0,1,2,12,4,26.61376326030828
1,178,0,0,1,1,2,6,1,30.083108280636274
6,57,0,1,2,2,1,2,6,44.58016513487181
2,101,2,0,1,2,2,6,2,15.377940581900086
3,120,1,0,1,0,2,2,2,17.57263425787178
6,178,1,2,2,1,0,10,1,21.276177445582
4,65,1,2,2,1,1,9,2,25.463597378754336
7,187,0,0,0,0,1,4,7,32.24212431764
6,117,1,1,0,2,1,1,1,48.053846923717494
4,94,0,0,1,0,2,7,1,18.525197375793955
6,90,2,2,0,0,0,10,4,20.725930047826516
1,163,0,2,1,0,0,5,5,17.0758383933739
1,96,2,1,0,0,1,10,2,13.768084761129353
7,158,0,1,1,0,0,6,0,29.952556231355285
4,63,0,0,2,2,2,11,4,16.108851849478402
3,115,2,1,2,1,2,9,1,28.79500122774345
2,74,0,2,1,0,2,3,4,14.62536824274087
6,181,1,0,2,2,1,10,7,23.055082344806877
2,62,2,1,2,1,1,7,5,34.70932642104414
5,180,0,0,1,0,1,8,6,25.654626008445327
3,85,2,2,1,2,2,6,7,15.72959435680654
4,78,2,2,2,2,0,6,0,15.914188273988314
5,158,2,0,2,1,1,3,7,26.076838030267847
3,82,2,2,0,2,0,11,2,14.329019888321652
3,188,1,1,2,1,1,9,2,30.65099627186518
5,71,1,2,2,1,2,4,1,16.2464610424559
6,103,0,2,2,0,1,11,1,37.79668162050824
6,59,0,2,1,0,0,3,4,23.55164491248299
1,195,1,0,2,1,0,6,5,25.927836383827056
1,84,1,2,1,1,2,12,2,8.181945657149592
2,137,1,2,1,2,2,12,7,13.73155439802226
5,174,2,1,1,2,2,4,6,24.64756024373074
5,112,2,0,2,1,1,8,3,37.9400640320926
5,56,1,2,0,1,1,1,2,38.12410976779039
5,159,1,2,0,2,0,2,4,19.35939251291095
3,54,1,0,2,0,2,6,4,8.580508269008188
3,188,2,0,1,0,2,12,5,19.475436332973945
2,165,0,0,1,0,2,8,0,17.57335482657449
6,106,1,2,1,0,0,5,1,17.53915045959798
2,191,1,1,0,2,0,3,5,17.970024963318266
6,169,2,1,1,1,1,12,1,54.15283876645209
1,88,0,1,1,1,1,5,7,14.050557376525079
2,159,1,0,2,2,1,6,2,12.748269191751017
5,144,2,0,0,2,2,10,3,21.719478364082033
7,57,2,1,0,1,0,4,2,24.25778460455081
3,119,1,2,0,0,1,11,0,28.071020953770365
7,58,1,2,2,1,1,12,6,41.33275747582478
1,103,1,0,1,0,2,7,3,7.669289123994313
6,50,1,2,2,2,2,10,3,12.374570181558049
2,107,2,0,1,0,0,12,3,17.377798425417954
3,196,1,0,2,0,0,2,4,16.776389416525074
7,172,2,2,1,2,1,8,5,28.576379136659778
1,193,0,0,0,0,1,4,5,22.626992567886163
7,142,1,2,1,1,1,8,0,40.667074503447274
3,121,1,0,0,1,1,11,5,32.334409520531324
2,145,0,2,0,1,2,8,4,33.301041669937106
2,134,0,1,1,1,1,10,4,18.951226075348043
2,111,0,0,0,0,0,1,2,14.181167962275717
3,150,2,2,1,2,1,11,6,40.377329309665754
2,151,2,1,1,0,2,6,3,18.21893522176768
3,158,2,1,2,0,0,12,5,21.79834262312663
6,165,2,1,1,2,2,5,2,28.296185362246902
3,89,0,0,1,2,2,5,5,14.640880848179025
2,97,0,1,2,2,2,10,3,17.77061296383219
1,198,0,1,2,0,0,2,3,22.386889449811353
2,188,2,2,2,2,0,12,3,18.522162018108776
2,151,0,0,2,0,1,6,3,12.925770564506623
5,195,2,0,1,1,2,10,0,23.595833401378094
2,55,1,2,2,2,1,6,7,8.766077795682035
6,75,1,0,2,2,1,7,1,20.259243886462176
6,85,0,1,2,0,0,3,7,22.61082200178995
6,168,2,0,0,1,1,4,4,27.67329496374674
7,150,1,2,0,0,1,7,5,25.06166231535758
7,71,1,2,1,2,1,1,2,47.552768591491144
5,98,1,1,1,0,0,3,2,19.738409778836896
7,77,2,2,2,2,2,10,3,22.71678243945525
1,60,1,1,1,2,1,9,3,10.380902661745472
5,86,0,2,1,0,1,12,7,44.526320397118766
1,194,1,1,0,1,2,8,3,31.38313166298851
3,143,2,1,2,2,2,8,6,20.119756996095184
1,195,0,1,2,0,2,10,1,19.204314051531
3,187,1,1,2,2,1,5,0,19.593502632330704
6,175,0,2,0,1,2,4,4,24.977405074907054
6,149,1,2,2,0,2,10,3,22.86677428810406
3,64,1,0,1,1,2,10,2,12.455744414202407
4,60,1,0,1,2,1,5,2,16.035829428970157
7,142,2,0,0,1,1,2,4,49.32692943862436
3,131,2,1,0,2,0,5,1,19.621284626125174
4,80,0,0,1,2,2,8,3,16.53643338002168
1,132,1,0,0,2,0,4,1,12.182666470207257
2,154,2,0,0,1,0,2,0,15.743166152839958
1,73,1,2,1,0,0,8,2,7.0288836719643335
1,166,1,0,2,0,0,10,4,10.28826257842221
5,176,0,0,0,1,1,12,3,46.8765926537945
5,180,1,0,1,2,2,6,6,23.65958871015313
4,198,1,0,0,2,0,4,0,17.823472345231146
7,144,2,0,0,2,1,7,1,26.7815067137128
7,102,1,0,1,1,1,6,0,34.20168130578273
6,99,2,1,2,1,2,9,5,35.80597287262758
1,51,0,2,0,1,2,1,4,8.458501632412652
5,69,1,0,1,1,2,5,2,17.4453615732296
1,169,0,2,0,1,1,1,1,41.271576508174334
5,188,1,1,2,1,0,5,1,23.449341512815845
7,104,2,2,2,1,1,6,6,35.92767839657412
6,126,2,1,2,1,2,9,2,38.99459776630986
3,113,0,2,1,1,2,12,6,17.42965300799274
2,112,0,1,0,1,2,6,2,28.85063075406777
1,109,1,2,0,1,0,5,6,6.230791981683197
5,62,0,0,1,1,1,1,7,44.63128960738797
5,80,2,0,1,0,0,9,3,20.179206916002773
1,124,2,2,0,0,1,6,3,10.778542375442084
6,169,1,0,2,2,2,6,6,17.949902472611548
7,189,1,2,2,0,0,12,1,25.05281889888849
6,65,2,0,0,2,2,4,2,19.98478564029457
4,159,0,0,1,2,2,1,2,20.18794712053241
6,192,0,1,2,0,0,4,1,29.29562502279019
6,69,1,2,2,1,0,1,4,15.19981058718873
4,129,2,0,2,1,0,8,7,36.25789291868162
1,167,2,0,2,0,0,11,1,14.086236887771987
4,128,1,1,2,2,1,11,3,37.86163240122153
5,176,0,0,0,1,1,7,4,38.62070405010551
6,185,1,0,1,1,0,1,1,23.298972722359295
2,119,2,2,0,1,1,12,0,37.416224358965415
7,200,2,1,0,1,0,5,7,30.508311326122676
5,129,2,2,0,1,0,11,1,17.67243828568792
4,128,2,2,1,2,0,4,2,21.014712909931298
2,120,1,0,1,0,1,8,2,10.23295640974164
3,64,2,2,1,2,1,2,0,38.14651742129312
4,142,1,2,2,1,1,3,4,21.697307500278843
1,82,2,1,1,0,2,7,1,16.041842407651504
4,158,2,1,1,1,1,2,3,47.12558495146184
1,192,0,0,1,0,1,5,6,17.24230612727665
5,112,0,0,2,2,1,12,2,44.108938353037985
1,178,1,0,1,2,2,6,0,13.225383308557833
7,88,2,2,2,1,1,5,2,19.06545012770726
1,123,2,1,2,1,1,1,4,41.19297662717754
4,161,0,2,2,0,0,2,3,21.94726744379612
7,124,0,2,1,0,1,8,7,28.541963080683043
2,139,0,0,2,2,0,8,4,14.184471611101483
1,112,0,1,0,1,0,2,4,18.150408139888285
5,140,2,0,2,0,0,7,7,24.159809152629645
3,153,1,0,1,2,1,2,5,40.4026923339751
6,141,2,2,0,0,2,7,2,22.5284444650763
3,170,1,2,2,0,2,3,4,16.180666851959497
6,137,2,1,2,1,2,4,7,27.215377153704605
7,187,0,2,0,1,0,11,3,25.54806566514953
5,124,1,0,1,0,0,7,0,18.053700974066114
4,136,0,2,0,2,0,8,7,15.14028939048761
5,158,1,1,0,2,2,8,1,21.86580318261345
7,111,2,1,2,0,0,2,2,26.39367241117532
4,153,2,2,2,0,0,4,4,18.713676444365635
1,140,2,0,2,1,1,9,5,21.552327356982246
5,174,1,1,2,2,2,5,7,21.243893937677363
6,110,1,0,2,1,0,3,7,18.624200887647135
4,124,2,2,1,1,0,10,2,20.210569154302306
2,94,0,1,0,1,2,11,5,13.000135305437745
5,161,2,0,2,2,0,10,0,21.934861665040636
2,94,0,1,1,1,2,4,0,19.492870905411998
3,172,0,0,1,1,0,11,1,20.122399183922074
7,168,0,0,2,1,0,1,6,26.423043906560103
4,117,2,1,0,0,0,11,0,21.163484042673694
2,65,1,0,0,2,1,2,3,32.59973416756623
4,120,0,0,2,2,2,6,6,16.45130922354885
1,93,1,0,0,2,1,7,6,11.514681590099432
1,119,1,2,2,1,2,9,3,20.875349519410893
1,94,2,2,0,0,0,10,2,11.396487639009566
5,83,0,0,1,0,2,3,0,20.295765908811283
5,50,1,0,2,1,0,3,7,15.436211436610908
3,113,2,1,1,0,1,12,5,42.86385942173568
6,150,0,2,1,1,1,5,2,27.04662286737599
4,110,1,2,0,2,0,11,0,15.33986966050408
1,130,1,2,0,1,2,1,1,10.800720333747778
4,144,1,2,0,0,1,8,1,16.507581980436182
6,61,0,0,1,2,1,8,3,22.919946614680775
7,185,1,2,2,0,1,4,3,29.72698382212042
7,182,0,2,2,0,0,1,1,26.366254280405784
7,182,0,0,2,0,2,7,4,26.602833630673285
5,97,2,1,0,0,1,3,5,24.991475850311517
4,170,0,1,2,2,0,5,3,22.607349574999752
2,170,2,1,0,0,0,2,1,19.69044858660025
4,126,2,0,2,0,1,3,5,26.63394483426663
3,76,2,2,2,2,1,5,1,11.966477555112931
5,192,2,2,2,0,0,6,6,25.599082936262647
4,118,0,1,1,2,1,2,2,45.48687466683298
6,186,1,0,2,2,2,4,7,24.12533306893362
5,88,2,2,2,1,0,11,6,19.707557352402276
7,136,1,2,0,2,2,2,4,21.30149361811952
3,58,1,2,2,0,0,11,2,9.080871429063077
6,155,1,0,2,0,1,10,3,18.69882332867443
7,124,0,1,2,2,2,8,3,28.75631992583061
2,140,2,2,0,0,2,4,4,15.790798161253122
4,89,1,2,2,0,0,7,4,14.785539214205237
2,85,0,2,2,1,0,10,5,15.728471547721565
4,52,0,0,1,0,2,1,6,18.161345205369393
5,123,2,1,0,1,1,1,0,50.53276475907049
2,182,0,1,1,1,2,4,7,21.70075328622981
3,69,2,0,1,1,2,10,6,16.30981082135223
4,103,1,0,0,1,0,4,2,15.407932827700407
3,159,2,1,1,0,1,10,6,20.056870645323094
1,120,0,2,2,2,2,2,4,12.35926683542219
3,164,0,1,0,2,1,1,1,47.3934231377371
5,51,2,0,1,0,0,7,6,18.98884870714177
3,60,0,1,1,0,1,10,4,14.423904016136877
6,147,0,2,0,1,1,2,6,43.4674242922392
7,61,2,0,1,2,2,1,5,26.014010504662497
6,101,2,1,0,1,1,12,6,47.37887461413777
1,70,0,1,1,2,0,3,1,15.01700256618514
1,148,0,1,0,0,0,10,0,14.614531700389232
2,167,2,2,0,2,1,6,2,14.704564136564274
4,116,0,2,2,0,2,8,6,20.837605656573494
7,81,1,2,1,1,0,9,6,32.21550496110497
1,107,2,2,2,2,0,9,5,12.413256755411888
7,162,2,2,0,0,0,9,4,25.49187974005673
6,164,0,1,2,1,0,2,7,29.570393312391197
3,147,1,2,2,2,1,9,3,14.667161278897739
4,200,1,0,1,0,1,4,3,29.750678693500774
4,154,0,2,2,2,2,11,4,19.43940382146691
2,59,1,0,2,0,0,1,5,5.347795416952543
2,92,0,1,1,2,2,10,2,14.79596370274481
7,193,1,2,2,1,0,4,3,23.06661867498168
6,192,2,0,2,1,0,11,3,24.304888675776848
7,101,1,1,2,1,2,7,3,40.615825091184824
1,55,0,1,2,2,1,1,0,38.60613021790361
3,83,0,2,2,1,0,7,3,31.49862779203268
2,175,0,0,1,2,1,6,3,18.703481322683043
4,156,0,1,0,1,1,1,3,47.54466027821421
6,156,1,0,1,1,0,2,0,23.57922142070115
2,147,0,2,2,1,1,7,1,31.31830538908285
7,163,1,1,2,0,0,7,1,26.686406933818528
4,88,0,1,2,0,1,8,5,18.805983168403785
7,196,2,2,0,0,0,12,7,25.490881465246826
6,149,0,0,0,2,0,1,5,24.429774009850536
1,140,2,0,0,0,0,3,3,12.56152864638927
6,195,0,1,2,2,2,2,2,29.461568974954194
5,61,1,2,0,1,1,11,3,31.59965463378433
3,149,0,0,2,0,0,10,0,17.604496827544892
5,201,2,1,1,0,1,4,4,32.880827065114026
7,80,2,2,1,2,0,3,2,25.117383345921294
3,116,0,2,1,2,0,4,6,17.592490341429073
4,195,0,2,0,1,1,2,3,45.86734253901888
6,175,0,0,1,0,0,8,7,26.866895769138406
7,199,2,2,1,0,2,4,0,30.844115237874004
6,181,0,2,2,1,0,5,7,23.888970544350265
7,81,0,2,1,0,0,5,6,25.638229219196614
7,126,0,0,1,2,0,4,6,27.049652035084783
1,51,1,0,0,0,1,6,6,6.96377379181145
3,58,2,0,0,1,2,3,7,13.780783039659253
2,117,0,0,2,2,1,1,2,37.51605039285643
4,131,0,2,0,0,1,8,6,19.43812226663337
5,104,2,1,0,0,0,1,1,21.589358042787705
4,66,1,1,1,2,2,5,1,14.48195969434857
4,100,0,2,2,1,1,12,1,41.33251046263752
5,112,1,1,0,0,1,1,1,46.18292501823362
4,198,1,0,0,0,2,5,3,17.249957909870854
1,164,2,0,0,1,1,4,3,22.459996700952267
2,192,1,2,0,2,0,1,1,12.573103489307282
6,78,0,2,1,0,1,8,0,20.558006547928773
1,126,1,2,2,2,0,10,0,9.926337529328025
2,192,1,2,0,1,0,4,6,17.507319847070615
4,107,1,0,2,1,1,11,7,30.879108029677862
4,59,2,2,0,1,0,11,5,12.342113477690809
4,144,0,1,0,0,0,5,0,21.416234707824675
3,158,2,1,1,1,1,11,6,40.13211092204973
2,179,2,0,2,2,2,2,1,16.348480099220602
1,77,2,0,1,1,2,3,5,13.554009357405615
5,121,1,1,1,1,2,5,0,23.337073565436125
5,128,0,2,1,1,1,4,2,30.453012744955878
2,114,0,2,2,0,1,10,4,15.513683001189586
5,164,2,2,2,1,1,8,1,39.455519311860314
3,90,0,2,2,2,0,7,5,16.69857714829119
4,150,2,1,0,2,0,4,6,22.0767082322513
5,108,0,1,0,2,1,11,1,38.05475280455561
4,141,0,1,1,0,0,2,7,19.148144220108588
3,184,1,1,2,0,0,12,3,19.708338547294066
4,166,1,0,2,2,1,9,3,16.712110037633053
2,130,0,2,2,2,1,7,5,16.279007220040707
3,182,2,2,1,2,2,8,4,22.95874099364439
7,132,2,2,1,2,2,6,2,30.60122727721052
7,144,2,2,0,1,1,7,5,41.79157307795042
4,101,2,0,1,1,1,2,3,42.96569819446044
4,112,0,1,1,0,1,1,3,47.14255295344626
6,188,0,2,0,2,0,4,0,25.94592285495771
3,177,2,2,1,0,2,12,7,21.8814951481527
1,162,1,0,1,0,1,7,4,13.410669655435736
4,167,2,0,1,2,1,1,5,48.98836647817276
2,182,2,0,2,0,1,4,3,23.049073912491938
4,69,0,0,1,0,2,12,2,16.910842426345326
2,200,1,2,1,0,0,12,1,19.952332703860403
1,121,0,2,1,1,2,7,7,31.344197094598123
1,158,1,0,0,1,2,4,6,11.439092174264902
2,116,0,2,1,2,0,5,4,18.678080995194655
3,107,0,2,2,1,0,6,6,28.886598965469112
5,97,2,2,0,0,2,2,5,18.131477186548487
2,117,2,2,1,1,0,6,5,28.645490197246044
2,79,1,1,1,2,0,7,0,12.829163231476098
3,96,2,1,2,0,0,6,7,20.12708448347401
6,187,2,0,2,2,1,11,1,41.77374359320299
6,151,1,1,1,2,2,4,7,24.683032539510794
6,116,0,0,0,0,1,2,4,46.79540868353343
4,140,0,2,1,1,2,10,2,22.87511895827164
3,108,2,0,2,2,1,4,2,21.721081113848218
7,153,2,2,0,0,0,4,1,26.854624665670663
7,103,2,0,0,1,2,6,3,35.264688088515385
2,93,2,2,2,0,2,6,7,11.991270680994456
7,100,2,2,1,1,0,9,1,37.489066789707046
5,169,1,0,2,0,0,1,7,18.99391861532368
7,139,1,2,2,2,0,10,3,22.215546011487287
4,68,2,2,0,0,0,8,0,16.767056061594527
1,86,2,2,1,2,1,10,6,11.105177910191811
4,94,1,0,1,0,0,2,1,15.741698262177005
5,59,0,1,2,2,2,2,7,18.560442836235204
5,158,1,1,0,0,0,11,1,19.80774206736097
3,184,2,2,1,2,0,5,2,24.121921117515566
1,139,0,0,0,1,0,12,3,14.834701021005031
2,127,0,2,2,1,1,4,4,22.63626368891673
7,90,2,0,0,2,0,12,5,20.581971128648103
3,126,1,1,2,0,1,5,4,18.20111988534439
6,183,2,1,1,0,2,10,7,29.54353752688481
7,79,2,0,0,1,2,5,2,20.621983027447797
2,201,1,2,0,2,1,4,7,19.647255632735664
2,174,0,1,1,0,0,3,5,20.962911692484656
6,54,2,2,1,1,0,10,1,20.31487005459243
1,136,2,2,0,2,2,1,1,11.897790665622638
7,170,0,0,0,0,1,8,0,27.555298086961667
6,184,0,0,2,0,2,3,2,22.96455312763946
5,66,0,2,1,1,2,6,7,31.551637153277998
1,129,0,1,2,2,1,11,3,35.62090054217909
3,108,0,0,0,2,0,8,5,15.783014980113329
4,98,0,0,1,0,0,12,3,17.500591802840034
5,109,2,2,2,0,1,3,0,23.809123414198048
2,171,1,2,0,2,0,2,1,15.539946330160353
7,86,2,2,1,2,2,12,3,24.5937407804319
7,134,0,1,0,2,1,10,2,31.87471604440243
5,166,2,0,0,2,1,12,4,48.64736643110791
3,93,2,2,2,1,0,9,0,26.90967441198238
1,189,0,0,2,2,2,8,6,15.127181620792586
5,165,1,2,2,1,2,4,3,17.811656501826334
3,120,0,1,1,2,2,3,6,22.024941496799336
3,187,1,1,1,2,2,7,1,18.765558646087637
7,133,0,1,1,2,1,1,1,53.046240146420594
4,133,0,0,2,0,2,12,0,19.888566643127756
1,130,2,1,1,0,1,12,2,39.21050848924613
6,138,0,1,1,0,2,3,7,25.471124965360502
2,151,0,2,2,2,0,2,6,16.384889054486987
6,58,2,1,2,0,2,4,4,19.679860879886707
7,96,1,1,0,2,2,5,4,23.272472992675738
1,147,0,0,0,0,1,10,4,11.341631779298211
5,137,0,0,2,0,2,3,2,19.620486354476927
2,193,2,0,2,0,1,8,5,18.931874273592754
6,76,0,1,0,2,2,8,3,23.369373475314113
2,60,2,0,1,0,0,2,4,11.091252742979137
6,90,1,0,1,0,1,9,4,20.861910891142443
6,105,0,2,2,1,0,2,0,22.189403486622872
4,152,2,1,0,1,0,9,2,33.63484933291452
1,186,0,0,1,0,2,12,3,15.87890694869317
5,201,1,0,2,0,1,9,7,21.516273136591902
4,131,0,1,0,2,1,2,0,46.605694543619286
2,68,1,1,2,0,0,11,4,11.351656255671736
1,57,0,2,0,0,0,4,4,7.759704652936518
1,137,0,0,0,1,0,2,3,14.443083471024199
6,121,2,0,1,1,2,11,5,23.651340478859634
2,68,1,0,2,2,2,6,0,8.308270243751918
3,172,2,2,0,1,0,9,6,29.325870972369454
1,196,2,2,0,1,2,8,7,33.22460210420564
5,197,0,1,0,1,0,9,5,42.23826528984546
5,136,0,1,2,0,0,5,2,24.11766175987024
1,186,1,1,2,0,2,11,6,13.836990054223207
5,186,0,1,2,0,2,5,6,28.353529312891364
5,147,2,2,0,0,1,4,0,25.92527579123352
4,54,2,0,2,0,0,9,4,16.800804695496716
6,132,1,1,2,1,0,4,6,23.354616290070233
6,139,1,2,1,1,2,2,0,21.747647663132543
5,176,1,1,1,0,2,9,0,23.728396338449002
1,83,1,2,2,2,1,6,3,7.638743440049177
5,172,1,1,2,0,0,8,5,24.161046510391593
2,132,1,2,2,0,1,11,5,27.644199879895847
5,129,2,0,2,0,1,5,0,20.441977879522828
2,114,2,2,1,0,1,6,5,14.59432189886062
3,187,0,0,1,0,2,8,1,21.219088434962522
6,130,1,0,2,0,1,8,0,18.92385161273667
6,80,1,1,1,1,0,8,0,40.656506738650506
4,93,0,0,0,2,2,6,7,17.78532403423495
3,145,2,1,0,1,0,7,3,37.57900233848713
2,172,0,2,2,1,0,7,4,30.880333540529023
5,142,2,1,2,0,1,2,1,48.315707221613785
6,120,2,1,2,2,1,8,0,24.755828425677098
6,69,2,0,0,2,0,4,3,19.14090452082825
5,158,1,1,1,1,2,6,4,33.03254914429854
3,96,0,1,2,1,0,9,1,33.33408957352729
2,123,0,0,2,0,2,9,0,17.38761014853985
4,62,1,2,0,2,0,11,1,12.633253628078153
7,131,2,1,1,2,0,1,7,25.529669195323077
1,55,0,0,0,1,0,12,0,8.952073824108629
2,85,0,0,0,2,0,2,0,9.471414674503993
6,65,1,2,1,1,1,2,1,41.84774027829063
3,140,1,1,1,1,1,11,5,36.152129160796164
6,177,0,2,0,2,2,12,5,23.709869021885396
1,108,1,1,0,2,0,12,2,10.473531680254018
7,120,1,2,1,2,0,8,4,22.40464078727425
2,146,0,1,1,1,1,5,4,20.770800868913962
6,182,2,1,0,1,1,8,0,46.84672998967531
5,198,2,1,2,2,2,6,5,28.986549934298978
7,148,2,0,2,2,2,2,3,25.26364819039738
7,93,0,0,1,0,0,1,0,25.260295591801537
5,126,0,1,0,1,1,5,5,23.52535640128338
1,84,2,0,0,2,2,8,5,11.819568000173344
4,137,1,0,2,0,0,2,5,15.671773508836658
5,139,0,2,1,1,2,11,7,24.227505928219095
6,128,2,2,2,0,2,6,1,21.536227809215617
2,79,0,2,1,2,1,5,6,14.031507230039699
5,140,1,1,1,0,2,3,0,21.854703659870257
4,151,1,0,2,0,2,8,0,17.17020033965008
1,139,0,2,2,2,0,5,5,15.882302450738274
3,149,2,2,2,1,1,9,1,29.046718408357826
4,93,1,1,2,0,0,6,0,14.67995437423253
4,94,0,2,1,0,2,12,4,18.501218940197266
6,101,1,1,0,2,2,2,6,21.415105363009474
4,196,1,0,2,2,1,1,1,45.62325640091269
6,74,2,1,1,2,2,7,1,23.548259119385193
2,107,1,0,0,0,2,10,2,12.581823195091083
5,86,2,0,2,1,2,11,7,17.481650099333894
3,148,2,0,1,1,0,5,1,19.820133877677453
1,72,1,0,2,2,1,8,4,8.28304925813459
7,104,1,2,2,2,1,4,7,26.375026404872933
3,155,0,2,0,2,2,1,3,19.6295310060989
7,133,2,0,2,2,0,12,0,27.109646059460665
1,128,0,1,0,1,1,1,7,43.50657676970765
4,168,1,2,2,1,1,9,4,26.889200386989376
2,199,0,1,1,1,0,8,3,41.33237482523353
6,98,0,0,2,2,2,4,1,22.186147499963635
6,200,2,2,1,1,2,8,6,44.55211340025476
2,163,2,0,0,0,0,12,2,17.298324505071495
5,149,0,1,2,1,2,9,6,35.42285779608733
3,84,1,2,0,1,2,1,6,9.690733327513444
1,173,1,0,0,0,1,8,0,13.03847217724029
3,167,0,1,0,2,1,6,2,22.332402572221927
7,66,0,1,1,2,2,9,5,22.815718817835624
4,152,0,0,2,1,0,8,1,36.476080513942414
3,187,2,0,2,2,0,4,7,18.328793562486144
4,131,0,2,0,2,1,3,5,24.989977036240475
2,188,1,2,1,2,0,1,1,16.66397894765266
2,82,1,2,0,1,1,10,0,8.892369351290558
1,169,0,1,0,0,0,5,0,17.742151671025084
2,111,0,1,2,0,0,4,4,17.93154878405223
6,60,2,1,0,2,0,10,3,21.17329927901144
